date,basket_type,item_name,scraped_name,price,unit_size,brand,store
2020-02-01,Healthy,Whole Wheat,Great Value 100% Whole Wheat Bread,2.43,20 oz,Great Value,Walmart
2020-02-01,Healthy,Brown Rice,Great Value Long Grain Brown Rice,1.83,2 lb,Great Value,Walmart
2020-02-01,Healthy,Quinoa,Great Value Organic White Quinoa,4.83,12 oz,Great Value,Walmart
2020-02-01,Healthy,Chickpeas (Dry),Great Value Garbanzo Beans,1.41,1 lb,Great Value,Walmart
2020-02-01,Healthy,Lentils (Dry),Great Value Brown Lentils,1.35,1 lb,Great Value,Walmart
2020-02-01,Healthy,Greek Yogurt,Great Value Nonfat Plain Greek Yogurt,4.13,32 oz,Great Value,Walmart
2020-02-01,Healthy,Spinach,Fresh Spinach Bag,2.19,10 oz bag,Fresh,Walmart
2020-02-01,Healthy,Broccoli,Fresh Broccoli Crowns,1.74,1 lb,Fresh,Walmart
2020-02-01,Healthy,Carrots,Fresh Whole Carrots,1.24,2 lb bag,Fresh,Walmart
2020-02-01,Healthy,Apples,Gala Apples Bag,4.39,3 lb bag,Fresh,Walmart
2020-02-01,Healthy,Bananas,Fresh Bananas,0.59,1 lb,Fresh,Walmart
2020-02-01,Healthy,Tofu,Nasoya Extra Firm Tofu,2.41,14 oz,Nasoya,Walmart
2020-02-01,Healthy,Oats,Great Value Old Fashioned Oats,3.28,42 oz,Great Value,Walmart
2020-02-01,Healthy,Peanut Butter,Great Value Creamy Peanut Butter,1.63,16 oz,Great Value,Walmart
2020-02-01,Healthy,Olive Oil,Great Value Extra Virgin Olive Oil,5.76,16.9 oz,Great Value,Walmart
2020-02-01,UltraProcessed,Frozen Pizza,Great Value Pepperoni Frozen Pizza,3.85,12 in,Great Value,Walmart
2020-02-01,UltraProcessed,Soda,Coca-Cola Original Soda,2.2,2 L,Coca-Cola,Walmart
2020-02-01,UltraProcessed,Chips,Lay's Classic Potato Chips,3.47,8 oz,Lay's,Walmart
2020-02-01,UltraProcessed,Instant Noodles,Maruchan Chicken Ramen Noodle Soup,2.75,12 pack,Maruchan,Walmart
2020-02-01,UltraProcessed,Sugary Cereal,Kellogg's Froot Loops Cereal,4.21,19.4 oz,Kellogg's,Walmart
2020-02-01,UltraProcessed,Ice Cream,Great Value Vanilla Ice Cream,3.22,48 oz,Great Value,Walmart
2020-02-01,UltraProcessed,Candy,Skittles Original Candy Bag,2.09,9 oz,Skittles,Walmart
2020-02-01,UltraProcessed,White Bread,Wonder Classic White Bread,2.48,20 oz,Wonder,Walmart
2020-02-01,UltraProcessed,Processed Cheese Slice,Kraft Singles American Cheese Slices,4.5,16 slices,Kraft,Walmart
2020-02-01,UltraProcessed,Chicken Nuggets,Tyson Fully Cooked Chicken Nuggets,7.5,32 oz,Tyson,Walmart
2020-02-01,UltraProcessed,Energy Drink,Monster Energy Original,2.32,16 fl oz,Monster,Walmart
2020-02-01,UltraProcessed,Microwave Popcorn,Orville Redenbacher's Movie Theater Popcorn,3.97,6 pack,Orville Redenbacher's,Walmart
2020-02-01,UltraProcessed,Hot Dogs,Bar-S Classic Franks,1.15,12 oz,Bar-S,Walmart
2020-02-01,UltraProcessed,Chocolate Cookies,Oreo Original Chocolate Sandwich Cookies,4.28,14.3 oz,Oreo,Walmart
2020-02-01,UltraProcessed,Mac and Cheese,Kraft Macaroni and Cheese Dinner,4.36,5 pack,Kraft,Walmart
2020-02-01,Neutral,Pasta,Barilla Spaghetti Pasta,1.5,16 oz,Barilla,Walmart
2020-02-01,Neutral,Tomato Sauce,Great Value Traditional Pasta Sauce,1.14,24 oz,Great Value,Walmart
2020-02-01,Neutral,Milk,Great Value 2% Reduced Fat Milk,3.12,1 gal,Great Value,Walmart
2020-02-01,Neutral,Potatoes,Russet Potatoes Bag,4.86,5 lb bag,Fresh,Walmart
2020-02-01,Neutral,Bananas,Fresh Bananas,0.62,1 lb,Fresh,Walmart
2020-02-01,Neutral,White Rice,Great Value Long Grain White Rice,1.99,2 lb,Great Value,Walmart
2020-02-01,Neutral,Tortillas,Mission Flour Tortillas,2.85,10 count,Mission,Walmart
2020-02-01,Neutral,Butter,Great Value Salted Butter Sticks,3.8,16 oz,Great Value,Walmart
2020-02-01,Neutral,Canned Corn,Del Monte Whole Kernel Corn,1.25,15.25 oz can,Del Monte,Walmart
2020-02-01,Neutral,Canned Beans,Bush's Best Black Beans,1.44,15.5 oz can,Bush's Best,Walmart
2020-02-01,Neutral,Onions,Yellow Onions Bag,2.91,3 lb bag,Fresh,Walmart
2020-02-01,Neutral,Eggs,Great Value Large White Eggs,2.15,12 count,Great Value,Walmart
2020-02-01,Neutral,Snack Crackers,Ritz Original Crackers,3.57,13.7 oz,Ritz,Walmart
2020-02-01,Neutral,Flour,Great Value All Purpose Flour,2.2,5 lb,Great Value,Walmart
2020-02-01,Neutral,Sugar,Great Value Granulated Sugar,2.8,4 lb,Great Value,Walmart
